{'timestamp': '2024-01-30 22:00:46', 'cpu_usage': 5.7, 'memory_usage': 64.43, 'disk_free': 728714}
{'timestamp': '2024-01-30 22:00:53', 'cpu_usage': 0.0, 'memory_usage': 64.55, 'disk_free': 728714}
{'timestamp': '2024-01-30 22:00:59', 'cpu_usage': 12.5, 'memory_usage': 64.59, 'disk_free': 728714}
{'timestamp': '2024-01-30 22:01:06', 'cpu_usage': 10.4, 'memory_usage': 64.61, 'disk_free': 728714}
{'timestamp': '2024-01-30 22:01:12', 'cpu_usage': 11.5, 'memory_usage': 64.63, 'disk_free': 728714}
{'timestamp': '2024-01-30 22:01:18', 'cpu_usage': 13.7, 'memory_usage': 64.38, 'disk_free': 728713}
{'timestamp': '2024-01-30 22:01:25', 'cpu_usage': 19.6, 'memory_usage': 64.29, 'disk_free': 728706}
{'timestamp': '2024-01-30 22:01:31', 'cpu_usage': 18.3, 'memory_usage': 64.34, 'disk_free': 728706}
{'timestamp': '2024-01-30 22:01:38', 'cpu_usage': 19.2, 'memory_usage': 64.39, 'disk_free': 728635}
{'timestamp': '2024-01-30 22:01:44', 'cpu_usage': 4.4, 'memory_usage': 64.51, 'disk_free': 728635}
{'timestamp': '2024-01-30 22:01:50', 'cpu_usage': 6.1, 'memory_usage': 64.54, 'disk_free': 728635}
{'timestamp': '2024-01-30 22:01:57', 'cpu_usage': 39.6, 'memory_usage': 64.42, 'disk_free': 728635}
{'timestamp': '2024-01-30 22:02:03', 'cpu_usage': 7.7, 'memory_usage': 64.46, 'disk_free': 728635}
{'timestamp': '2024-01-30 22:02:10', 'cpu_usage': 1.8, 'memory_usage': 64.38, 'disk_free': 728635}
{'timestamp': '2024-01-30 22:02:16', 'cpu_usage': 6.0, 'memory_usage': 64.35, 'disk_free': 728635}
{'timestamp': '2024-01-30 22:02:22', 'cpu_usage': 60.4, 'memory_usage': 64.23, 'disk_free': 728635}
{'timestamp': '2024-01-30 22:02:29', 'cpu_usage': 30.4, 'memory_usage': 64.31, 'disk_free': 728635}
{'timestamp': '2024-01-30 22:02:35', 'cpu_usage': 41.1, 'memory_usage': 64.29, 'disk_free': 728635}
{'timestamp': '2024-01-30 22:02:41', 'cpu_usage': 9.6, 'memory_usage': 64.23, 'disk_free': 728635}
{'timestamp': '2024-01-30 22:02:48', 'cpu_usage': 15.4, 'memory_usage': 64.24, 'disk_free': 728635}
{'timestamp': '2024-01-30 22:02:54', 'cpu_usage': 11.5, 'memory_usage': 64.27, 'disk_free': 728635}
{'timestamp': '2024-01-30 22:03:01', 'cpu_usage': 21.2, 'memory_usage': 64.15, 'disk_free': 728635}
{'timestamp': '2024-01-30 22:03:07', 'cpu_usage': 6.2, 'memory_usage': 64.13, 'disk_free': 728635}
