{'timestamp': '2024-01-30 23:50:28', 'cpu_usage': 2.3, 'memory_free': 64.6, 'disk_free': 735428}
{'timestamp': '2024-01-30 23:50:41', 'cpu_usage': 3.8, 'memory_free': 64.6, 'disk_free': 735419}
{'timestamp': '2024-01-30 23:50:54', 'cpu_usage': 2.3, 'memory_free': 64.6, 'disk_free': 735406}
{'timestamp': '2024-01-30 23:51:08', 'cpu_usage': 2.3, 'memory_free': 64.7, 'disk_free': 735397}
{'timestamp': '2024-01-30 23:51:21', 'cpu_usage': 0.8, 'memory_free': 64.7, 'disk_free': 735971}
{'timestamp': '2024-01-30 23:51:34', 'cpu_usage': 3.8, 'memory_free': 64.7, 'disk_free': 735961}
{'timestamp': '2024-01-30 23:51:47', 'cpu_usage': 0.8, 'memory_free': 64.7, 'disk_free': 735915}
{'timestamp': '2024-01-30 23:52:00', 'cpu_usage': 0.8, 'memory_free': 64.6, 'disk_free': 735902}
{'timestamp': '2024-01-30 23:52:13', 'cpu_usage': 4.6, 'memory_free': 64.6, 'disk_free': 735898}
{'timestamp': '2024-01-30 23:52:26', 'cpu_usage': 0.8, 'memory_free': 64.5, 'disk_free': 735886}
{'timestamp': '2024-01-30 23:52:39', 'cpu_usage': 1.5, 'memory_free': 64.6, 'disk_free': 735857}
{'timestamp': '2024-01-30 23:52:52', 'cpu_usage': 3.9, 'memory_free': 64.5, 'disk_free': 735847}
{'timestamp': '2024-01-30 23:53:05', 'cpu_usage': 3.0, 'memory_free': 64.5, 'disk_free': 735840}
{'timestamp': '2024-01-30 23:53:19', 'cpu_usage': 2.3, 'memory_free': 64.5, 'disk_free': 735825}
{'timestamp': '2024-01-30 23:53:32', 'cpu_usage': 3.9, 'memory_free': 64.4, 'disk_free': 735802}
{'timestamp': '2024-01-30 23:53:45', 'cpu_usage': 0.0, 'memory_free': 64.4, 'disk_free': 735790}
{'timestamp': '2024-01-30 23:53:58', 'cpu_usage': 3.8, 'memory_free': 64.3, 'disk_free': 735771}
{'timestamp': '2024-01-30 23:54:11', 'cpu_usage': 0.0, 'memory_free': 64.3, 'disk_free': 735752}
{'timestamp': '2024-01-30 23:54:24', 'cpu_usage': 1.6, 'memory_free': 64.4, 'disk_free': 735740}
{'timestamp': '2024-01-30 23:54:37', 'cpu_usage': 0.0, 'memory_free': 64.4, 'disk_free': 735732}
{'timestamp': '2024-01-30 23:54:50', 'cpu_usage': 0.0, 'memory_free': 64.4, 'disk_free': 735724}
{'timestamp': '2024-01-30 23:55:03', 'cpu_usage': 4.5, 'memory_free': 64.3, 'disk_free': 735715}
{'timestamp': '2024-01-30 23:55:16', 'cpu_usage': 3.1, 'memory_free': 64.3, 'disk_free': 735702}
{'timestamp': '2024-01-30 23:55:29', 'cpu_usage': 10.9, 'memory_free': 64.2, 'disk_free': 735691}
{'timestamp': '2024-01-30 23:55:42', 'cpu_usage': 23.1, 'memory_free': 63.9, 'disk_free': 735680}
{'timestamp': '2024-01-30 23:55:56', 'cpu_usage': 0.0, 'memory_free': 64.0, 'disk_free': 735680}
{'timestamp': '2024-01-30 23:56:09', 'cpu_usage': 0.0, 'memory_free': 64.0, 'disk_free': 735680}
{'timestamp': '2024-01-30 23:56:22', 'cpu_usage': 0.0, 'memory_free': 64.0, 'disk_free': 735680}
{'timestamp': '2024-01-30 23:56:35', 'cpu_usage': 0.8, 'memory_free': 64.0, 'disk_free': 735680}
{'timestamp': '2024-01-30 23:56:48', 'cpu_usage': 0.0, 'memory_free': 63.9, 'disk_free': 735680}
{'timestamp': '2024-01-30 23:57:01', 'cpu_usage': 0.0, 'memory_free': 64.0, 'disk_free': 735680}
{'timestamp': '2024-01-30 23:57:14', 'cpu_usage': 0.0, 'memory_free': 64.0, 'disk_free': 735680}
{'timestamp': '2024-01-30 23:57:27', 'cpu_usage': 0.0, 'memory_free': 63.9, 'disk_free': 735680}
{'timestamp': '2024-01-30 23:57:40', 'cpu_usage': 0.0, 'memory_free': 63.9, 'disk_free': 735680}
{'timestamp': '2024-01-30 23:57:53', 'cpu_usage': 0.0, 'memory_free': 63.9, 'disk_free': 735680}
{'timestamp': '2024-01-30 23:58:06', 'cpu_usage': 0.0, 'memory_free': 63.9, 'disk_free': 735680}
{'timestamp': '2024-01-30 23:58:19', 'cpu_usage': 0.0, 'memory_free': 63.9, 'disk_free': 735680}
{'timestamp': '2024-01-30 23:58:32', 'cpu_usage': 4.4, 'memory_free': 63.9, 'disk_free': 735674}
{'timestamp': '2024-01-30 23:58:45', 'cpu_usage': 22.7, 'memory_free': 63.6, 'disk_free': 735656}
{'timestamp': '2024-01-30 23:58:58', 'cpu_usage': 31.5, 'memory_free': 63.1, 'disk_free': 735619}
{'timestamp': '2024-01-30 23:59:11', 'cpu_usage': 18.0, 'memory_free': 64.1, 'disk_free': 735603}
{'timestamp': '2024-01-30 23:59:24', 'cpu_usage': 17.8, 'memory_free': 62.8, 'disk_free': 735585}
{'timestamp': '2024-01-30 23:59:38', 'cpu_usage': 10.9, 'memory_free': 62.5, 'disk_free': 735566}
{'timestamp': '2024-01-30 23:59:51', 'cpu_usage': 27.9, 'memory_free': 61.6, 'disk_free': 735564}
{'timestamp': '2024-01-31 00:00:04', 'cpu_usage': 25.0, 'memory_free': 59.0, 'disk_free': 735535}
{'timestamp': '2024-01-31 00:00:17', 'cpu_usage': 38.0, 'memory_free': 53.1, 'disk_free': 735515}
{'timestamp': '2024-01-31 00:00:30', 'cpu_usage': 16.2, 'memory_free': 51.6, 'disk_free': 735504}
{'timestamp': '2024-01-31 00:00:43', 'cpu_usage': 42.0, 'memory_free': 49.5, 'disk_free': 735465}
{'timestamp': '2024-01-31 00:00:56', 'cpu_usage': 0.0, 'memory_free': 49.4, 'disk_free': 735249}
{'timestamp': '2024-01-31 00:01:10', 'cpu_usage': 0.8, 'memory_free': 49.5, 'disk_free': 735243}
{'timestamp': '2024-01-31 00:01:23', 'cpu_usage': 0.0, 'memory_free': 49.6, 'disk_free': 735185}
{'timestamp': '2024-01-31 00:01:36', 'cpu_usage': 1.6, 'memory_free': 49.5, 'disk_free': 735185}
{'timestamp': '2024-01-31 00:01:49', 'cpu_usage': 3.9, 'memory_free': 49.6, 'disk_free': 735185}
{'timestamp': '2024-01-31 00:02:02', 'cpu_usage': 1.6, 'memory_free': 49.6, 'disk_free': 735185}
{'timestamp': '2024-01-31 00:02:15', 'cpu_usage': 0.0, 'memory_free': 49.6, 'disk_free': 735185}
{'timestamp': '2024-01-31 00:02:28', 'cpu_usage': 1.6, 'memory_free': 49.6, 'disk_free': 735172}
{'timestamp': '2024-01-31 00:02:41', 'cpu_usage': 60.0, 'memory_free': 47.2, 'disk_free': 735178}
{'timestamp': '2024-01-31 00:02:54', 'cpu_usage': 52.3, 'memory_free': 43.0, 'disk_free': 735178}
{'timestamp': '2024-01-31 00:03:08', 'cpu_usage': 14.6, 'memory_free': 42.4, 'disk_free': 735178}
{'timestamp': '2024-01-31 00:03:21', 'cpu_usage': 25.6, 'memory_free': 42.4, 'disk_free': 735178}
{'timestamp': '2024-01-31 00:03:34', 'cpu_usage': 3.1, 'memory_free': 41.8, 'disk_free': 735178}
{'timestamp': '2024-01-31 00:03:47', 'cpu_usage': 6.1, 'memory_free': 41.8, 'disk_free': 735176}
{'timestamp': '2024-01-31 00:04:00', 'cpu_usage': 37.1, 'memory_free': 41.8, 'disk_free': 735176}
{'timestamp': '2024-01-31 00:04:13', 'cpu_usage': 6.2, 'memory_free': 41.6, 'disk_free': 735176}
{'timestamp': '2024-01-31 00:04:26', 'cpu_usage': 7.8, 'memory_free': 41.6, 'disk_free': 735176}
{'timestamp': '2024-01-31 00:04:39', 'cpu_usage': 7.8, 'memory_free': 42.5, 'disk_free': 735164}
{'timestamp': '2024-01-31 00:04:52', 'cpu_usage': 1.6, 'memory_free': 42.4, 'disk_free': 735164}
{'timestamp': '2024-01-31 00:05:05', 'cpu_usage': 48.8, 'memory_free': 41.6, 'disk_free': 735208}
{'timestamp': '2024-01-31 00:05:19', 'cpu_usage': 56.2, 'memory_free': 40.6, 'disk_free': 735196}
{'timestamp': '2024-01-31 00:05:32', 'cpu_usage': 11.7, 'memory_free': 39.0, 'disk_free': 735200}
{'timestamp': '2024-01-31 00:05:45', 'cpu_usage': 4.7, 'memory_free': 41.1, 'disk_free': 735200}
{'timestamp': '2024-01-31 00:05:58', 'cpu_usage': 30.5, 'memory_free': 41.1, 'disk_free': 735200}
{'timestamp': '2024-01-31 00:06:12', 'cpu_usage': 6.9, 'memory_free': 41.1, 'disk_free': 735200}
{'timestamp': '2024-01-31 00:06:25', 'cpu_usage': 47.7, 'memory_free': 41.0, 'disk_free': 735200}
{'timestamp': '2024-01-31 00:06:38', 'cpu_usage': 1.6, 'memory_free': 41.0, 'disk_free': 735193}
{'timestamp': '2024-01-31 00:06:51', 'cpu_usage': 0.8, 'memory_free': 41.0, 'disk_free': 735193}
{'timestamp': '2024-01-31 00:07:04', 'cpu_usage': 1.6, 'memory_free': 40.9, 'disk_free': 735193}
{'timestamp': '2024-01-31 00:07:17', 'cpu_usage': 3.1, 'memory_free': 41.0, 'disk_free': 735193}
{'timestamp': '2024-01-31 00:07:30', 'cpu_usage': 3.7, 'memory_free': 40.9, 'disk_free': 735193}
{'timestamp': '2024-01-31 00:07:43', 'cpu_usage': 4.0, 'memory_free': 40.9, 'disk_free': 735193}
{'timestamp': '2024-01-31 00:07:56', 'cpu_usage': 5.5, 'memory_free': 40.9, 'disk_free': 735193}
{'timestamp': '2024-01-31 00:08:09', 'cpu_usage': 4.0, 'memory_free': 40.9, 'disk_free': 735193}
{'timestamp': '2024-01-31 00:08:22', 'cpu_usage': 2.3, 'memory_free': 40.7, 'disk_free': 735187}
{'timestamp': '2024-01-31 00:08:35', 'cpu_usage': 3.1, 'memory_free': 40.6, 'disk_free': 735193}
{'timestamp': '2024-01-31 00:08:48', 'cpu_usage': 3.9, 'memory_free': 40.6, 'disk_free': 735193}
{'timestamp': '2024-01-31 00:09:01', 'cpu_usage': 3.1, 'memory_free': 40.6, 'disk_free': 735180}
{'timestamp': '2024-01-31 00:09:14', 'cpu_usage': 0.8, 'memory_free': 40.5, 'disk_free': 735180}
{'timestamp': '2024-01-31 00:09:27', 'cpu_usage': 3.1, 'memory_free': 40.1, 'disk_free': 735180}
{'timestamp': '2024-01-31 00:09:40', 'cpu_usage': 3.1, 'memory_free': 40.2, 'disk_free': 735180}
{'timestamp': '2024-01-31 00:09:53', 'cpu_usage': 5.3, 'memory_free': 40.4, 'disk_free': 735129}
{'timestamp': '2024-01-31 00:10:06', 'cpu_usage': 3.1, 'memory_free': 40.3, 'disk_free': 735123}
{'timestamp': '2024-01-31 00:10:20', 'cpu_usage': 6.1, 'memory_free': 40.2, 'disk_free': 735123}
{'timestamp': '2024-01-31 00:10:33', 'cpu_usage': 3.9, 'memory_free': 40.3, 'disk_free': 735123}
{'timestamp': '2024-01-31 00:10:46', 'cpu_usage': 7.7, 'memory_free': 40.8, 'disk_free': 735123}
{'timestamp': '2024-01-31 00:10:59', 'cpu_usage': 7.7, 'memory_free': 40.9, 'disk_free': 735110}
{'timestamp': '2024-01-31 00:11:12', 'cpu_usage': 3.1, 'memory_free': 40.8, 'disk_free': 735110}
{'timestamp': '2024-01-31 00:11:25', 'cpu_usage': 7.8, 'memory_free': 40.8, 'disk_free': 735110}
{'timestamp': '2024-01-31 00:11:38', 'cpu_usage': 3.9, 'memory_free': 40.8, 'disk_free': 735110}
{'timestamp': '2024-01-31 00:11:51', 'cpu_usage': 4.7, 'memory_free': 40.7, 'disk_free': 735110}
{'timestamp': '2024-01-31 00:12:04', 'cpu_usage': 6.3, 'memory_free': 40.7, 'disk_free': 735110}
{'timestamp': '2024-01-31 00:12:17', 'cpu_usage': 3.1, 'memory_free': 40.7, 'disk_free': 735110}
{'timestamp': '2024-01-31 00:12:30', 'cpu_usage': 3.9, 'memory_free': 40.6, 'disk_free': 735090}
{'timestamp': '2024-01-31 00:12:43', 'cpu_usage': 3.9, 'memory_free': 40.6, 'disk_free': 735090}
{'timestamp': '2024-01-31 00:12:56', 'cpu_usage': 6.2, 'memory_free': 40.6, 'disk_free': 735090}
{'timestamp': '2024-01-31 00:13:09', 'cpu_usage': 4.7, 'memory_free': 40.6, 'disk_free': 735090}
{'timestamp': '2024-01-31 00:13:22', 'cpu_usage': 7.8, 'memory_free': 40.5, 'disk_free': 735084}
{'timestamp': '2024-01-31 00:13:35', 'cpu_usage': 7.0, 'memory_free': 40.5, 'disk_free': 735077}
{'timestamp': '2024-01-31 00:13:48', 'cpu_usage': 7.8, 'memory_free': 40.5, 'disk_free': 735077}
{'timestamp': '2024-01-31 00:14:01', 'cpu_usage': 2.4, 'memory_free': 40.4, 'disk_free': 735071}
{'timestamp': '2024-01-31 00:14:14', 'cpu_usage': 4.7, 'memory_free': 40.4, 'disk_free': 735071}
{'timestamp': '2024-01-31 00:14:27', 'cpu_usage': 3.1, 'memory_free': 40.4, 'disk_free': 735071}
{'timestamp': '2024-01-31 00:14:40', 'cpu_usage': 5.5, 'memory_free': 40.4, 'disk_free': 735071}
{'timestamp': '2024-01-31 00:14:53', 'cpu_usage': 4.7, 'memory_free': 40.4, 'disk_free': 735071}
{'timestamp': '2024-01-31 00:15:06', 'cpu_usage': 3.9, 'memory_free': 40.3, 'disk_free': 735071}
{'timestamp': '2024-01-31 00:15:19', 'cpu_usage': 10.2, 'memory_free': 40.3, 'disk_free': 735071}
{'timestamp': '2024-01-31 00:15:32', 'cpu_usage': 3.9, 'memory_free': 40.0, 'disk_free': 735058}
{'timestamp': '2024-01-31 00:15:45', 'cpu_usage': 4.7, 'memory_free': 40.5, 'disk_free': 735058}
